From Date,CO,Ozone
16-08-2020 16:00,0.5,24.99
17-08-2020 00:00,0.62,24.91
17-08-2020 08:00,0.51,31.34
17-08-2020 16:00,0.85,35.72
18-08-2020 00:00,0.59,26.36
18-08-2020 08:00,0.65,31.53
18-08-2020 16:00,0.99,15.31
19-08-2020 00:00,0.33,30.19
19-08-2020 08:00,0.67,31.09
19-08-2020 16:00,0.67,31.75
20-08-2020 00:00,0.38,25.01
20-08-2020 08:00,0.65,32.43
20-08-2020 16:00,0.72,33.09
21-08-2020 00:00,0.51,28.13
21-08-2020 08:00,0.53,29.57
21-08-2020 16:00,0.62,31.87
22-08-2020 00:00,0.46,25.58
22-08-2020 08:00,0.51,24.56
22-08-2020 16:00,0.54,24.55
23-08-2020 00:00,0.45,21.67
23-08-2020 08:00,0.53,21.52
23-08-2020 16:00,0.65,34.72
24-08-2020 00:00,0.4,30.22
24-08-2020 08:00,0.62,33.37
24-08-2020 16:00,0.79,39.37
25-08-2020 00:00,0.37,26.83
25-08-2020 08:00,0.61,31.87
25-08-2020 16:00,1.18,40.78
26-08-2020 00:00,0.69,32.15
26-08-2020 08:00,0.74,34.6
26-08-2020 16:00,0.87,43.04
27-08-2020 00:00,0.45,40.89
27-08-2020 08:00,0.59,39.13
27-08-2020 16:00,0.99,45.79
28-08-2020 00:00,0.5,28.72
28-08-2020 08:00,0.6,36.15
28-08-2020 16:00,1.08,35.43
29-08-2020 00:00,0.36,25.66
29-08-2020 08:00,0.55,37.18
29-08-2020 16:00,0.78,43.68
30-08-2020 00:00,0.47,27.21
30-08-2020 08:00,0.57,25.06
30-08-2020 16:00,0.6,26.54
31-08-2020 00:00,0.45,21.26
31-08-2020 08:00,0.49,36.8
31-08-2020 16:00,1,43.9
01-09-2020 0:00,0.29,27.67
01-09-2020 8:00,0.67,35.15
01-09-2020 16:00,1.02,35.44
02-09-2020 0:00,0.41,26.38
02-09-2020 8:00,0.7,26.81
02-09-2020 16:00,0.58,33.67
03-09-2020 0:00,0.47,26.48
03-09-2020 8:00,0.41,33.12
